◇ injected env (62) from ../.env // tip: ⌁ auth for agents [www.vestauth.com]
contract,usuario_id,wallet,course_id,guide_id,guide_num,usdt,is_perfect,profile_score,status,hash,timestamp,block
V2,101,0x2e2c4ac19c93d0984840cdd8e7f77500e2ef978e,103,105,1,0,true,100,success,0x8b8fafded732f6eb80f13d8c5d400ae8159e40740746bed09e79d41703d474fc,2026-01-24T03:32:17.000000Z,57324779
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,12,2,0,true,100,success,0x3dfd7781de9dd5d60bc9f89ec4a8e50c76d3fa66c7e58fd15a15bcff3a285ebe,2026-01-23T18:44:17.000000Z,57293099
V2,492,0x3be451ed7782221bedba84febe79238adfe6cea3,105,112,3,0,false,100,success,0x0c2f2d653be17322dbb30da578bd30bc49d9371c72b18cca2a1fca3a317ee220,2026-01-22T16:59:26.000000Z,57200408
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,14,4,0,true,100,success,0xa5612eaf7f7c5cec46aced0f89d345fed17c452e86620f57fa201f5fcdd496be,2026-01-22T16:18:59.000000Z,57197981
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,11,1,0,false,100,success,0x22a94ad16c3fa4cec0b5e22c1137caa8dfb780a0c678fb902ae506505a2e5ec4,2026-01-21T20:34:32.000000Z,57126914
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,13,3,0,true,100,success,0xddab28a1d5b60a9cde9acacdbae7cf8fc9b38dc7076ad9b63d946580c2ecf0df,2026-01-21T20:27:11.000000Z,57126473
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,14,4,0,true,100,success,0x9b00894c375f6cd166794c95ee2e7222c888b6dd659836ae0610d0ffa1c5e4c1,2026-01-21T20:16:27.000000Z,57125829
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,2,12,2,0,true,68,success,0xf04483a387f03f5289fead3f0c4aaf762ca6e2bae839e2bd3bb3ece2a92c0c63,2026-01-21T17:14:04.000000Z,57114886
V2,546,0x7f5d82035d27e8244de54a5bdc9683279124313f,2,12,2,0,false,100,success,0xf7c8bbd29a607e7e2ea6f59301d06419a2c00c50dcdb905cab11c10ba72913ed,2026-01-21T15:38:10.000000Z,57109132
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,13,3,0,true,100,success,0x22d66bd584a8a561667eb7f775d8c8c74f36dbc65864444ca0285b2c76e6a40a,2026-01-20T19:08:31.000000Z,57035353
V2,492,0x3be451ed7782221bedba84febe79238adfe6cea3,105,112,3,0,false,100,success,0xd25036d3fac6b4ccdcb196e0dd760a38e3f3ffffc0b1534cb4fec4e5170c75fb,2026-01-20T15:36:33.000000Z,57022635
V2,490,0x937e0ba0e5b96fd52397772d4fc1ba773339d8d0,105,110,1,0,false,100,success,0x68e903291a6ad3da68b3a84d93373764bc7d97db8d214f804847cbccc12799f1,2026-01-19T05:31:12.000000Z,56899914
V2,492,0x3be451ed7782221bedba84febe79238adfe6cea3,105,112,3,0,false,100,success,0x39e1f9c7153fdc4d08d8d3a4d7b619801debcbda801c0ef8881bbb051a09aa3f,2026-01-17T23:48:20.000000Z,56792942
V2,276,0x036e8a41093f0ef28ef3789b23569a3c923d7997,105,111,2,0,true,52,success,0x339a1d2891d88c094282f3834a560896c9feaeea2a415c02d45d79cf50964584,2026-01-16T18:58:48.000000Z,56689170
V2,275,0x0970fce8cedd17d1d0d1e380346d7b773227554c,1,2,2,0,true,52,success,0x16fb450c3091f8187ac26951fef4a16fc49ba2a5d73fda7e26f722193d865a3a,2026-01-16T18:50:02.000000Z,56688644
V2,274,0xd28217e2bc8f8a079b345670b7d7c790f228ce3e,1,2,2,0,true,52,success,0x62e88d86abdd6d0c10af6eb9b1225cbd92d84b17a3221f4ceaf834e0db53cf28,2026-01-16T18:48:19.000000Z,56688541
V2,273,0x4c79c17e314c1fdbdfbe23ed1326a14be15a74f7,1,2,2,0,false,52,success,0x30209cfe42e4b80072f0e9e77ea09affe760ce71330bb8cbd3c0a40180fdaa68,2026-01-16T18:46:19.000000Z,56688421
V2,272,0x7f5923f51e652c3353c2ed412cc03c63860f2cde,1,2,2,0,true,52,success,0xe0fdbed6520f2d01215ba59ecae04bc57c5995b84d12384ec029e252f1379c54,2026-01-16T18:44:31.000000Z,56688313
V2,271,0x96ac962696f31bd2c9a247a1429502b059bb70e2,1,1,1,0,false,52,success,0x4377ad24ea3c846f4d26151d5e3974d3156b1fe553fb1b4da05f5d5d416b4377,2026-01-16T18:40:52.000000Z,56688094
V2,270,0x9cd09d6e09adcc2b5b62ddc1d8ac3fcceab2b2a5,1,1,1,0,true,52,success,0x84923b2ea42a1f038a0f828ad92dc5bace00e7dd6de58c9e0d3d37f95d6bef18,2026-01-16T18:38:56.000000Z,56687978
V2,269,0x40178e16afb7f320d8cf1b2bbd22fe9a9730e1fd,1,1,1,0,true,52,success,0xaaf75ed488b664acc6fc82a632ac269f8489cafdc9eb8671f30eb22187b42f3b,2026-01-16T18:36:14.000000Z,56687816
V2,268,0x53ff6e45569849368a2a338e52b2fb39d0643ae0,1,1,1,0,true,52,success,0x484d5798b77e179458f77a295331939d346daca9e80b61507fde31f3cd72723c,2026-01-16T18:32:50.000000Z,56687612
V2,268,0x53ff6e45569849368a2a338e52b2fb39d0643ae0,2,13,3,0,true,52,success,0xc26ec68b6bdbed3deca6a04549fcc6dce3560e3d201b7f38f5bd31dd09b3a6b0,2026-01-16T18:30:25.000000Z,56687467
V2,267,0xe88a97a56332db92e207617fc91e905dcac73120,2,13,3,0,false,52,success,0xb48ebc70787f7f23afc1930ccfbc30b609da4a5b6107e288ada73f124788745c,2026-01-16T18:28:41.000000Z,56687363
V2,226,0x2a13922041be40c908e4390b3f7a6cc213b8b511,2,13,3,0,true,52,success,0x8ae072f844a6b964bbb138e4cca15755e58e1ed990079b6a508dbca9d7d3c8b3,2026-01-16T18:26:43.000000Z,56687245
V2,488,0x44629cbfb44530437bcf8176a2b43bfdde010f5a,2,12,2,0,true,100,success,0xf0d9cea527414c05be7843fafa0da83a86ee5ab290e93eeb6d32cecc1a1468d5,2026-01-16T18:26:19.000000Z,56687221
V2,228,0xd340da43e2271f0f14f487c3d2746862cc577b13,2,13,3,0,true,52,success,0x861d22aafc1fb79073f679d1bc67a743eb96a9b77486ebcfffbb246db9fe2834,2026-01-16T18:24:32.000000Z,56687114
V2,266,0xbeb9c977f371ee2cb7611c23d06bbb27c92ae173,2,12,2,0,false,52,success,0xd221f01d216afa1eeceb1a902bdee5a55412d262f16aaa1f6b8afa5ecffb7b5c,2026-01-16T18:21:13.000000Z,56686915
V2,265,0x04632c2187f8e93f2df27a3a5e130cfb1339d9fe,2,12,2,0,true,52,success,0x43def1d9cf232aa4e7e4dd8fa8def6abe29d302b23698ba5dee26e227737e460,2026-01-16T18:18:04.000000Z,56686726
V2,264,0xf54f8072b015709f8ba1f8bb9a8cca492cda1bc1,105,111,2,0,true,52,success,0x369ce46853903433ffe37ab59c33d9bb617890d5cabb123ade2bc12dfe74c393,2026-01-16T17:44:43.000000Z,56684725
V2,262,0x5e94dc539a9395530ca4b8db05609a1a5a1f236f,105,111,2,0,true,52,success,0x33dd2309e2f32930c1eb7a52500c9aa0bde69fbc3ddc625bc7848b34ad4fdde2,2026-01-16T17:43:57.000000Z,56684679
V2,261,0xf4344c313c5d34d1dd87e0a72c38f9d15c04fd98,105,111,2,0,true,52,success,0xb5678ffdeb01a2033cdc2334a4df0a79b110d5d9815d6a1b7987b9914efd4cfa,2026-01-16T17:43:16.000000Z,56684638
V2,256,0xed02fd656c090a3df712f9d528fa6fd655c36dd3,105,111,2,0,true,52,success,0x46dca3426b921930fa182301e99f80c6e486a37e68828e159c92174427b43916,2026-01-16T17:42:22.000000Z,56684584
V2,254,0xe0c3c94c44ec13e83df166303a2d9e1eda48e1d2,105,111,2,0,true,52,success,0xfc4c1a7a74b2f2c6971cdcd799d5b0ae9da3118fbf3962d25c4959874f851648,2026-01-16T17:41:27.000000Z,56684529
V2,263,0x566635364755bc24f2ae9926f7242a08ad4ea770,105,111,2,0,false,52,success,0x74873cd80b831b997c83f8d49d06df7f0ce0f6ecb9a0638b5c0042b3dcb5e3a6,2026-01-16T17:40:17.000000Z,56684459
V2,124,0xe343400313d377690cd696271126da8cfe33f360,1,4,4,0,true,100,success,0xa1be0ed14f5d4c358a63b3f76027dd2216e1076aeeeb928eb25b016b605d5c37,2026-01-16T17:32:43.000000Z,56684005
V2,145,0x2cdc442ec321ad8e5c136a461ad0c81b3e4f57f4,105,113,4,0,true,100,success,0x6a264b3e4a97ea523cc7a29f89853a66b55245c53494277359cdf3a0296f0862,2026-01-16T16:46:58.000000Z,56681260
V2,124,0xe343400313d377690cd696271126da8cfe33f360,2,11,1,0,false,100,success,0x6e0ab3cfd8ee8d549f7993dd4319af3d1803b2a2d0992ba9bbbf3f0375a8547b,2026-01-16T16:44:10.000000Z,56681092
V2,181,0x204d050d301716d45eaa6807855cbf679c4f1dcf,2,12,2,0,true,100,success,0xd21599d3022326c89ae8f93c8a85c79ca9175148f2539c71076796f484127df7,2026-01-16T15:59:04.000000Z,56678386
V2,230,0x06ba10f1ad326ff80855f0ac67bafb62a59a2cd4,107,119,2,0,true,52,success,0xc42bfcf137015e5c9dfca608e72d6a27faf0d85ea9b444c861d5a18c2d626a05,2026-01-15T20:09:55.000000Z,56607037
V2,231,0x62683fa04190094340038c9f262405514b1d7bfe,107,119,2,0,false,52,success,0x382beef13d7994387397794ae8d6781a6ef3aa1e910fa10e3034f4564d7eac8c,2026-01-15T20:07:29.000000Z,56606891
V2,232,0x3363906cac24d84d7fd564d8d81ece00873a13ef,107,119,2,0,true,52,success,0xb431fb3abd05b2c5d621f2236a0ef3712328cfe7714b70110a6a22516e8993e2,2026-01-15T20:06:30.000000Z,56606832
V2,233,0x7f139158d5931b0ba4322a09f63cb695faba30ab,107,119,2,0,true,52,success,0xd8ee1fbe4089051fdcb461a7f09dc74bfa245780c5c9737545ec726fa682fda5,2026-01-15T20:05:33.000000Z,56606775
V2,234,0xea7b881bb6cae8a00dbdafa0ba1e4a6dafaf375a,107,119,2,0,true,52,success,0x73ed794ce8cb1c5fcd901cdf32060c32a8d9e76e690f67509c84c8a68c587d1e,2026-01-15T20:04:33.000000Z,56606715
V2,235,0xc2f33a4b6b9e419a10042307038f22d1db439833,107,119,2,0,true,52,success,0x68830ffea4a33036aa7eb0a3d806dc7c7f4e7a5dfae18e4f91d4f3a152eb9bd1,2026-01-15T20:03:42.000000Z,56606664
V2,236,0x02b9b96310a652d8c268d3dc61c92f102fcb30f9,107,119,2,0,true,52,success,0x39d083e4ff1d49806e5d3943dde57140045be1b2e7834a390d3c761df6eb8ce2,2026-01-15T20:02:48.000000Z,56606610
V2,237,0x5087227ce2166c46612d20d3c1e22bb042eb2de9,107,119,2,0,true,52,success,0x475358869aaa25665a9d0421c3514903443bb9374be53b0ba641f485dda6bef5,2026-01-15T20:01:40.000000Z,56606542
